Surname,Region
ბოჟაძე,იმერეთი
ბორჯაძე,იმერეთი
ბოცვაძე,იმერეთი
ბოყოველი,იმერეთი
ბოჭალია,იმერეთი
ბოჭოიძე,იმერეთი
ბოჭორიშვილი,იმერეთი
ბუკუჩავა,იმერეთი
ბოხოჩაძე,იმერეთი
ბოჯგაძე,იმერეთი
ბჟავია,იმერეთი
ბჟავიძე,იმერეთი
ბჟალაძე,იმერეთი
ბრეგაძე,იმერეთი
ბრეგვაძე,იმერეთი
ბრელაძე,იმერეთი
ბრელიძე,იმერეთი
ბუაჩიძე,იმერეთი
ბუაძე,იმერეთი
ბუბაშვილი,იმერეთი
ბუბეიშვილი,იმერეთი
ბუბუაშვილი,იმერეთი
ბუბულაშვილი,იმერეთი
ბუბუტეიშვილი,იმერეთი
ბუზალაძე,იმერეთი
ბუთეიშვილი,იმერეთი
ბუიძე,იმერეთი
ბუიღლიშვილი,იმერეთი
ბულუხაძე,იმერეთი
ბუმბუეიშვილი,იმერეთი
ბუმბეიშვილი,იმერეთი
ბურკაძე,იმერეთი
ბურელიძე,იმერეთი
ბურძენიძე,იმერეთი
ბურჯანაძე,იმერეთი
ბუსკივაძე,იმერეთი
ბუხსიანიძე,იმერეთი
ბუსხრიკიძე,იმერეთი
ბუღაძე,იმერეთი
ბუღიაშვილი,იმერეთი
ბუში,იმერეთი
ბუშიაშვილი,იმერეთი
ბუშიშვილი,იმერეთი
ბუჩუაძე,იმერეთი
ბუცხრიკიძე,იმერეთი
ბუწურაძე,იმერეთი
ბუჭუაძე,იმერეთი
ბუჭუხიშვილი,იმერეთი
ბუჭუხიძე,იმერეთი
ბუხაიძე,იმერეთი
ბუხნიკაშვილი,იმერეთი
ბუხრაიძე,იმერეთი
ბუხრაშვილი,იმერეთი
ბუხულეიშვილი,იმერეთი
გიორბელიძე,იმერეთი
გოდუაძე,იმერეთი
გურასაშვილი,იმერეთი
გაბადაძე,იმერეთი
გაბაძე,იმერეთი
გაბედავა,იმერეთი
გაბელაშვილი,იმერეთი
გაბეხაძე,იმერეთი
გაბირიძე,იმერეთი
გაბისონია,იმერეთი
გაბრიაძე,იმერეთი
გაბრიჭიძე,იმერეთი
გაბუნია,იმერეთი
გაგავა,იმერეთი
გაგნაძე,იმერეთი
გაგნიძე,იმერეთი
გაგოშიძე,იმერეთი
გაგუა,იმერეთი
გავაშელაშვილი,იმერეთი
გალდავა,იმერეთი
გალდავაძე,იმერეთი
გამგებელი,იმერეთი
გამგონეიშვილი,იმერეთი
გამეზარდაშვილი,იმერეთი
გამთენაძე,იმერეთი
გამრეკელაშვილი,იმერეთი
გამსახურდაშვილი,იმერეთი
გამსახურდია,იმერეთი
გამსახურიშვილი,იმერეთი
გამყრელიძე,იმერეთი
გამცემლიძე,იმერეთი
განუგრავა,იმერეთი
გარბანელიძე,იმერეთი
გარუჩავა,იმერეთი
გარშენიძე,იმერეთი
გაფრინაშვილი,იმერეთი
გაფრინდაშვილი,იმერეთი
გაჩეჩილაძე,იმერეთი
გაჩკუდურეიშვილი,იმერეთი
გებუაძე,იმერეთი
გეგელაშვილი,იმერეთი
გეგელია,იმერეთი
გეგენავა,იმერეთი
გეგეშიძე,იმერეთი
გეგეჭკორი,იმერეთი
გეგია,იმერეთი
გეგეშიძე,იმერეთი
