Surname,Region
მეკეიძე,გურია
მელივა,გურია
მელიქაძე,გურია
მელუა,გურია
მემარნიშვილი,გურია
მენაბდე,გურია
მენაღარიშვილი,გურია
მეფარიშვილი,გურია
მექვაბიშვილი,გურია
მეხუზლა,გურია
მათაიშვილი,გურია
მიქავტაძე,გურია
მიქანაძე,გურია
მიქატაძე,გურია
მიქაშავიძე,გურია
მიქელაშვილი,გურია
მიქელაიშვილი,გურია
მიხეილიძე,გურია
მკერვალი,გურია
მკურნალიძე,გურია
მოდრეკილაძე,გურია
მოისწრაფეშვილი,გურია
მოისწრაფიშვილი,გურია
მოლარიშვილი,გურია
მორჩილაძე,გურია
მოსურაძე,გურია
მოქია,გურია
მჟავია,გურია
მჟავანაძე,გურია
მუკბანიანი,გურია
მურვანიძე,გურია
მურმანიძე,გურია
მუხაშავრია,გურია
მუჯირი,გურია
მშვიდობაძე,გურია
ნაკაიძე,გურია
ნანაძე,გურია
ნატარიძე,გურია
ნაცვალაძე,გურია
ნიკოლაიშვილი,გურია
ნიკოლაშვილი,გურია
ნინიძე,გურია
ოთხმეზური,გურია
ორაგველიძე,გურია
ორმოცაძე,გურია
ოსეფაიშვილი,გურია
ოქროპილაშვილი,გურია
ოქროპირაშვილი,გურია
ოქრუაძე,გურია
პაიჭაძე,გურია
პატარავა,გურია
პატარაია,გურია
პატარია,გურია
პატიეშვილი,გურია
პატეიშვილი,გურია
პინაიშვილი,გურია
ჟოჟიკაშვილი,გურია
ჟორდანია,გურია
ჟღენტი,გურია
ჟღერია,გურია
რამიშვილი,გურია
რუსულიძე,გურია
რიონიძე,გურია
რიჟვაძე,გურია
როინიძე,გურია
რომანაძე,გურია
როყვა,გურია
როყუა,გურია
როხაძე,გურია
რუსიეშვილი,გურია
რუსიძე,გურია
სეფერთელაძე,გურია
სადრაძე,გურია
საინიშვილი,გურია
სალაია,გურია
სალუქვაძე,გურია
სამსონაძე,გურია
სამსონია,გურია
სარიშვილი,გურია
სარჯველაძე,გურია
სებისკვერაძე,გურია
სებისკვერიძე,გურია
სეფისკვერაძე,გურია
სიამაშვილი,გურია
სივსივაძე,გურია
სიორიძე,გურია
სირაძე,გურია
სირდაძე,გურია
სიხარულიძე,გურია
სკამკოჩაიშვილი,გურია
სკამკოჩაშვილი,გურია
სოროზანაშვილი,გურია
სოროზანიშვილი,გურია
სულაბერიძე,გურია
სუნგულია,გურია
სურგულაძე,გურია
სხვიტარიძე,გურია
ტარიელიძე,გურია
ტიკარაძე,გურია
ტიკაძე,გურია
ტორონჯაძე,გურია
ტოროტაძე,გურია
ტრაპაიძე,გურია
ტუნაძე,გურია
ტუღუში,გურია
ტყეშელიაძე,გურია
უნგიაძე,გურია
ურუშაძე,გურია
უჯმაჯურიძე,გურია
ფასეიშვილი,გურია
ფასიეშვილი,გურია
ფაცურია,გურია
ფევაძე,გურია
ფერსაშვილი,გურია
ფერსელიძე,გურია
ფინთიხაშვილი,გურია
ფირცხალაიშვილი,გურია
ფირცხალაური,გურია
ფირცხალეიშვილი,გურია
ფირცხელაიშვილი,გურია
ფიფაიშვილი,გურია
ფოცხიშვილი,გურია
