Surname,Region
კოდანაშვილი,აჭარა
კოკობინაძე,აჭარა
კომახიძე,აჭარა
კონცელიძე,აჭარა
კოპინაძე,აჭარა
კოპლატაძე,აჭარა
კოჟიაშვილი,აჭარა
კორიფაძე,აჭარა
კოროშინაძე,აჭარა
კორძაია,აჭარა
კოსოლიძე,აჭარა
კოჩალაძე,აჭარა
კოჩალიძე,აჭარა
კუკარაძე,აჭარა
კუკულავა,აჭარა
კუკულაძე,აჭარა
კუნჭულია,აჭარა
კუპატაშვილი,აჭარა
კურცხალიძე,აჭარა
კუსიდი,აჭარა
კუტუბიძე,აჭარა
ლაზიშვილი,აჭარა
ლაითაძე,აჭარა
ლამპარაძე,აჭარა
ლასტაკანიძე,აჭარა
ლასურიძე,აჭარა
ლემსაძე,აჭარა
ლეონიძე,აჭარა
ლიპარტიანი,აჭარა
ლომსანიძე,აჭარა
ლომჯარია,აჭარა
ლორთქიფანიძე,აჭარა
ლურსმანიძე,აჭარა
მადოიშვილი,აჭარა
მათითაშვილი,აჭარა
მაკარაძე,აჭარა
მალაყმაძე,აჭარა
მამეიშვილი,აჭარა
მამეშვილი,აჭარა
მამინაშვილი,აჭარა
მამისაიშვილი,აჭარა
მამრიკაშვილი,აჭარა
მამულაიშვილი,აჭარა
მამულაძე,აჭარა
მამუჭაძე,აჭარა
მანელიშვილი,აჭარა
მართალიშვილი,აჭარა
მაღულარია,აჭარა
მაჭარიშვილი,აჭარა
მაჭუტაძე,აჭარა
მახარაძე,აჭარა
მახაჭაძე,აჭარა
მეგრელიძე,აჭარა
მემარნე,აჭარა
მემიაძე,აჭარა
მენაფირე,აჭარა
მენაღარაშვილი,აჭარა
მენაღარიშვილი,აჭარა
მერკულაძე,აჭარა
მესხიძე,აჭარა
მეტაქსა,აჭარა
მიქანაძე,აჭარა
მიქელაიშვილი,აჭარა
მიქელაძე,აჭარა
მკერვალიშვილი,აჭარა
მკურნალიძე,აჭარა
მორთულაძე,აჭარა
მოფინაძე,აჭარა
მოქერია,აჭარა
მოქია,აჭარა
მოწყობილი,აჭარა
მჟავანაძე,აჭარა
მსახურაძე,აჭარა
მსხალაძე,აჭარა
მუთიძე,აჭარა
მუკუტაძე,აჭარა
მურვანიძე,აჭარა
მურმანიძე,აჭარა
მუსლიმპური,აჭარა
მუსხაჯბა,აჭარა
მუფთიშვილი,აჭარა
მუშამბაძე,აჭარა
მუხაშავრია,აჭარა
მწერლიშვილი,აჭარა
მხატვარი,აჭარა
ნაგერვაძე,აჭარა
ნაკაშიძე,აჭარა
ნამთალაშვილი,აჭარა
ნარაკიძე,აჭარა
ნატარიძე,აჭარა
ნემანიშვილი,აჭარა
ნემსაძე,აჭარა
ნიგალიძე,აჭარა
ნიკოლაიშვილი,აჭარა
ნინიძე,აჭარა
ნიქაბერიძე,აჭარა
ნოღაიდელი,აჭარა
ოთიაშვილი,აჭარა
ომერაძე,აჭარა
ორაგველიძე,აჭარა
ოსანაძე,აჭარა
ოსაშვილი,აჭარა
ოტოლაძე,აჭარა
ოქროპირიძე,აჭარა
პამბა,აჭარა
პაპაძე,აჭარა
პაპუნაიშვილი,აჭარა
პაპუნიძე,აჭარა
პატეიშვილი,აჭარა
პაქსაძე,აჭარა
პეტრიძე,აჭარა
პირპილაძე,აჭარა
პლატონაძე,აჭარა
ჟოჟაძე,აჭარა
ჟორდანია,აჭარა
ჟორდანიძე,აჭარა
ჟორჟაძე,აჭარა
ჟორჟიკაშვილი,აჭარა
რევი,აჭარა
რევიშვილი,აჭარა
რეკემაძე,აჭარა
რესულიძე,აჭარა
რიონიძე,აჭარა
რიჟვაძე,აჭარა
როდინაძე,აჭარა
როინიძე,აჭარა
რომანაძე,აჭარა
სათირიშვილი,აჭარა
სათმანიძე,აჭარა
საითაძე,აჭარა
საინიშვილი,აჭარა
სალაძე,აჭარა
სალვარიძე,აჭარა
სალუქვაძე,აჭარა
სამველიძე,აჭარა
სამნიძე,აჭარა
სამსონაძე,აჭარა
სამსონია,აჭარა
სანიძე,აჭარა
სარხანიძე,აჭარა
სარჯველაძე,აჭარა
საფარიძე,აჭარა
სახარაძე,აჭარა
სეიდიშვილი,აჭარა
სელიმბა,აჭარა
სეფერთელაძე,აჭარა
სეფერიძე,აჭარა
სირაბიძე,აჭარა
სოლომონიძე,აჭარა
სტამბოლიშვილი,აჭარა
სურგულაძე,აჭარა
სურმანიძე,აჭარა
სუსანიძე,აჭარა
სუსარეიშვილი,აჭარა
ტაბახია,აჭარა
ტაკიძე,აჭარა
ტანტიბა,აჭარა
ტარიელაძე,აჭარა
ტარტარაშვილი,აჭარა
ტეტემაძე,აჭარა
ტოტოჩავა,აჭარა
ტუნაძე,აჭარა
ტუსკაძე,აჭარა
ტუსკია,აჭარა
ტყეშელაძე,აჭარა
უზუნაძე,აჭარა
უმეთაძე,აჭარა
უშარიძე,აჭარა
ფარსენაძე,აჭარა
ფარტენაძე,აჭარა
ფასეიშვილი,აჭარა
ფასიეშვილი,აჭარა
ფატლაძე,აჭარა
ფაღავა,აჭარა
ფევაძე,აჭარა
ფენჩიძე,აჭარა
ფერსალიძე,აჭარა
ფერსელიძე,აჭარა
ფილიპაშვილი,აჭარა
ფირცხალაიშვილი,აჭარა
ფირცხალაძე,აჭარა
ფიფაიშვილი,აჭარა
ფოთელიძე,აჭარა
ფოჩხაძე,აჭარა
ფოცხიშვილი,აჭარა
ფურცვანიძე,აჭარა
ფუტკარაძე,აჭარა
ქადიძე,აჭარა
ქავჯარაძე,აჭარა
ქათამაძე,აჭარა
ქამადაძე,აჭარა
ქამალაძე,აჭარა
ქამაშიძე,აჭარა
ქარსაულიძე,აჭარა
ქარცივაძე,აჭარა
ქედელიძე,აჭარა
ქემხაძე,აჭარა
ქერქაძე,აჭარა
ქვეითაია,აჭარა
ქიზინიძე,აჭარა
ქიქავა,აჭარა
ქიშმარეია,აჭარა
ქიძინიძე,აჭარა
ქობალაძე,აჭარა
ქობულაძე,აჭარა
ქონდარიძე,აჭარა
ქონიაძე,აჭარა
ქოქოლაძე,აჭარა
ღაღაიშვილი,აჭარა
ღელეყვა,აჭარა
ღვინტიძე,აჭარა
ღვინცაძე,აჭარა
ღომიძე,აჭარა
ღონიაძე,აჭარა
ღოღობერიძე,აჭარა
ღურჭუმელაძე,აჭარა
ყადიძე,აჭარა
ყულეჯიშვილი,აჭარა
ყურაძე,აჭარა
ყურბანიძე,აჭარა
ყურშუბაძე,აჭარა
შავაძე,აჭარა
შავთვალაძე,აჭარა
შავიშვილი,აჭარა
შავლიძე,აჭარა
შაინიძე,აჭარა
შალიკაძე,აჭარა
შამილაძე,აჭარა
შარაბიძე,აჭარა
შამილიშვილი,აჭარა
შანთიძე,აჭარა
შარაშიძე,აჭარა
შარაძე,აჭარა
შაქარაძე,აჭარა
შაქარიშვილი,აჭარა
შაშიკაშვილი,აჭარა
შაშიკაძე,აჭარა
შევარდნაძე,აჭარა
შერვაშიძე,აჭარა
შერიფაძე,აჭარა
შეშელიძე,აჭარა
შეწირული,აჭარა
შვილდაძე,აჭარა
შილაძე,აჭარა
შიშმანიძე,აჭარა
შოთაძე,აჭარა
შონუსი,აჭარა
შოშიტაიშვილი,აჭარა
შუბალიძე,აჭარა
შუშანიძე,აჭარა
ჩაავა,აჭარა
ჩავლეიშვილი,აჭარა
ჩამბა,აჭარა
ჩანტლაძე,აჭარა
ჩარგეიშვილი,აჭარა
ჩაუშბა,აჭარა
ჩახვაძე,აჭარა
ჩახუნაიშვილი,აჭარა
ჩელებაძე,აჭარა
ჩიბურდანიძე,აჭარა
ჩიბურიძე,აჭარა
ჩიგოვაძე,აჭარა
ჩიმაკაძე,აჭარა
ჩიჯავაძე,აჭარა
ჩოგაძე,აჭარა
ჩოლობარგია,აჭარა
ჩოხარაძე,აჭარა
ჩურუკბა,აჭარა
ჩხატარაშვილი,აჭარა
ჩხუბაძე,აჭარა
ცენტერაძე,აჭარა
ცეცხლაძე,აჭარა
ცივაძე,აჭარა
ცივნარიძე,აჭარა
ციმნარიძე,აჭარა
ცინარიძე,აჭარა
ცინცაბაძე,აჭარა
ცინცაძე,აჭარა
ცინცქილაძე,აჭარა
ცისკარავა,აჭარა
ცისკარაძე,აჭარა
ცისკარიძე,აჭარა
ციცბა,აჭარა
ციციანი,აჭარა
ციციანიძე,აჭარა
ციციაშვილი,აჭარა
ცუცხაშვილი,აჭარა
ცქვიტინიძე,აჭარა
ცხოიძე,აჭარა
ცხომელიძე,აჭარა
ძიმისტარიშვილი,აჭარა
ძირკვაძე,აჭარა
ძნელაძე,აჭარა
წეროძე,აჭარა
წითელაძე,აჭარა
წითლიძე,აჭარა
წილოსანი,აჭარა
წიტაიშვილი,აჭარა
წიქორია,აჭარა
წიწაშვილი,აჭარა
წიწნაძე,აჭარა
წულაძე,აჭარა
წულუკიძე,აჭარა
წურქავა,აჭარა
წუწუნავა,აჭარა
წყავზარაძე,აჭარა
ჭანიძე,აჭარა
ჭანკურიძე,აჭარა
ჭანუყვაძე,აჭარა
ჭაღალიძე,აჭარა
ჭახაძე,აჭარა
ჭელია,აჭარა
ჭივაძე,აჭარა
ჭინკაძე,აჭარა
ჭურკვეიძე,აჭარა
ჭყონია,აჭარა
ხაბაზი,აჭარა
ხაბაძე,აჭარა
ხავლოშვილი,აჭარა
ხავშამბა,აჭარა
ხალვაში,აჭარა
ხალითბა,აჭარა
ხარაზი,აჭარა
ხახვა,აჭარა
ხახუტაიშვილი,აჭარა
ხაჯიშვილი,აჭარა
ხეჩინაშვილი,აჭარა
ხიბაია,აჭარა
ხილაძე,აჭარა
ხიმშიაშვილი,აჭარა
ხინველი,აჭარა
ხინთიბიძე,აჭარა
ხინიკაძე,აჭარა
ხინკილაძე,აჭარა
ხიტირი,აჭარა
ხოზრევანიძე,აჭარა
ხომერიკი,აჭარა
ხოროიშვილი,აჭარა
ხოროშვილი,აჭარა
ხოშორაძე,აჭარა
ხუთკუბია,აჭარა
ხუხუნაიშვილი,აჭარა
ჯაბნიძე,აჭარა
ჯავახიძე,აჭარა
