Surname,Region
ბაღდადიშვილი,კახეთი
ბაღიაშვილი,კახეთი
ბაღნაშვილი,კახეთი
ბაღოშვილი,კახეთი
ბაღუაშვილი,კახეთი
ბაყლიშვილი,კახეთი
ბაშინურიძე,კახეთი
ბაჩაკაშვილი,კახეთი
ბაჩალიაშვილი,კახეთი
ბაჩანაშვილი,კახეთი
ბაჩანაძე,კახეთი
ბაჩიაშვილი,კახეთი
ბაჩიძე,კახეთი
ბაჩოშვილი,კახეთი
ბაჩუკაშვილი,კახეთი
ბაჩულაშვილი,კახეთი
ბაცანაძე,კახეთი
ბაცაშვილი,კახეთი
ბაცაცაშვილი,კახეთი
ბაცელაშვილი,კახეთი
ბაციაშვილი,კახეთი
ბაძოშვილი,კახეთი
ბაწაშვილი,კახეთი
ბაწელაშვილი,კახეთი
ბაწილაშვილი,კახეთი
ბაჭაძე,კახეთი
ბაჭველაშვილი,კახეთი
ბახბახაშვილი,კახეთი
ბახბახიშვილი,კახეთი
ბახლიშვილი,კახეთი
ბახსოლიანი,კახეთი
ბახტურიძე,კახეთი
ბერიანიძე,კახეთი
ბახუტაშვილი,კახეთი
ბებელაშვილი,კახეთი
ბებერაშვილი,კახეთი
ბებოშვილი,კახეთი
ბებრიშვილი,კახეთი
ბებურიძე,კახეთი
ბეგაშვილი,კახეთი
ბეგაძე,კახეთი
ბეგიაშვილი,კახეთი
ბედენაშვილი,კახეთი
ბედიანიძე,კახეთი
ბედიაშვილი,კახეთი
ბედმანიკაშვილი,კახეთი
ბეზარაშვილი,კახეთი
ბეთანელი,კახეთი
ბეთიაშვილი,კახეთი
ბეიტრიშვილი,კახეთი
ბეკოშვილი,კახეთი
ბელადიძე,კახეთი
ბენაშვილი,კახეთი
ბენდიანიშვილი,კახეთი
ბენდუქიძე,კახეთი
ბეჟანიშვილი,კახეთი
ბეჟაშვილი,კახეთი
ბეჟიშვილი,კახეთი
ბეჟიკელაშვილი,კახეთი
ბეჟიკოშვილი,კახეთი
ბეჟიტაშვილი,კახეთი
ბეჟოშვილი,კახეთი
ბეჟუაშვილი,კახეთი
ბერაშვილი,კახეთი
ბერდიაშვილი,კახეთი
ბერებიშვილი,კახეთი
ბერელაშვილი,კახეთი
ბერეჩიკიძე,კახეთი
ბერიაშვილი,კახეთი
ბერიკაშვილი,კახეთი
ბერიკელაშვილი,კახეთი
ბერიძიშვილი,კახეთი
ბერმამუკელი,კახეთი
ბეროზაშვილი,კახეთი
ბეროშვილი,კახეთი
ბერუკაშვილი,კახეთი
ბერულაშვილი,კახეთი
ბერძენაშვილი,კახეთი
ბესალაშვილი,კახეთი
ბესაშვილი,კახეთი
ბესთავაშვილი,კახეთი
ბეუქლიშვილი,კახეთი
ბექიშვილი,კახეთი
ბექურაიძე,კახეთი
ბექურაული,კახეთი
ბექურიძე,კახეთი
ბეყურაშვილი,კახეთი
ბეშკანაძე,კახეთი
ბეცეცაშვილი,კახეთი
ბეციაშვილი,კახეთი
ბეწაშვილი,კახეთი
ბეწუკელი,კახეთი
ბეწუნაიძე,კახეთი
ბეწუნაშვილი,კახეთი
ბზუკაშვილი,კახეთი
ბიბიაშვილი,კახეთი
ბიბილაძე,კახეთი
ბითარაშვილი,კახეთი
ბიკაშვილი,კახეთი
ბილანიშვილი,კახეთი
ბიტარაშვილი,კახეთი
ბიტიაშვილი,კახეთი
ბიღიაშვილი,კახეთი
ბიჩელაშვილი,კახეთი
ბიჩინაშვილი,კახეთი
ბიძინაშვილი,კახეთი
ბიწკინაშვილი,კახეთი
ბიჭიაშვილი,კახეთი
ბიჭოლაშვილი,კახეთი
ბლუიშვილი,კახეთი
ბობოქაიძე,კახეთი
ბობღიაშვილი,კახეთი
ბოლათაშვილი,კახეთი
ბოლაშვილი,კახეთი
ბოლღაშვილი,კახეთი
ბორაშვილი,კახეთი
ბორშოიძე,კახეთი
ბორჩაშვილი,კახეთი
ბორჩოშვილი,კახეთი
ბორძიკაშვილი,კახეთი
ბორძიკიძე,კახეთი
ბოსტაღანაშვილი,კახეთი
ბოსტაშვილი,კახეთი
ბოსტოღანაშვილი,კახეთი
ბოტკოველი,კახეთი
ბოქოლიშვილი,კახეთი
ბოღლოციშვილი,კახეთი
ბოღოლაშვილი,კახეთი
ბოშაშვილი,კახეთი
ბოჭორიშვილი,კახეთი
ბოჭორიძე,კახეთი
ბრაგვაძე,კახეთი
ბრეკაშვილი,კახეთი
ბროლაშვილი,კახეთი
ბუბალაძე,კახეთი
ბუბუნაშვილი,კახეთი
ბუზარაშვილი,კახეთი
ბუზარიაშვილი,კახეთი
ბუზიაშვილი,კახეთი
ბუთიაშვილი,კახეთი
ბუთლიაშვილი,კახეთი
ბუთხაშვილი,კახეთი
ბუიშვილი,კახეთი
ბუიძე,კახეთი
ბულავრიშვილი,კახეთი
ბულაშვილი,კახეთი
ბულბულაშვილი,კახეთი
ბულკაშვილი,კახეთი
ბუნაშვილი,კახეთი
ბუნტური,კახეთი
ბურდელაძე,კახეთი
ბურდიაშვილი,კახეთი
ბურდულაძე,კახეთი
ბურდული,კახეთი
ბურთიკაშვილი,კახეთი
ბურკვაშვილი,კახეთი
ბურკიაშვილი,კახეთი
ბუტიაშვილი,კახეთი
ბუტულაშვილი,კახეთი
ბუქვაიძე,კახეთი
ბუქიაშვილი,კახეთი
ბუქურაული,კახეთი
ბუღათრიშვილი,კახეთი
ბუღრიძე,კახეთი
ბუშელაშვილი,კახეთი
ბუშურიშვილი,კახეთი
ბუჩაიძე,კახეთი
ბუჩაშვილი,კახეთი
ბუჩუკური,კახეთი
ბუჩხრიკიძე,კახეთი
ბუცხრიკიძე,კახეთი
ბუწანკალური,კახეთი
ბუწაშვილი,კახეთი
ბუჭუხიშვილი,კახეთი
ბუჭყიაშვილი,კახეთი
ბუჭყურაშვილი,კახეთი
ბუხიაშვილი,კახეთი
ბუხრაძე,კახეთი
ბუჯიაშვილი,კახეთი
ბუჯიშვილი,კახეთი
ბღარაშვილი,კახეთი
გაბაშვილი,კახეთი
გაბახაძე,კახეთი
გაბაძე,კახეთი
გაბიდაური,კახეთი
გაბიტაშვილი,კახეთი
გაბოშვილი,კახეთი
გაბრაშვილი,კახეთი
გაბრელაშვილი,კახეთი
გაბროშვილი,კახეთი
გაბრუაშვილი,კახეთი
გაბუნიძე,კახეთი
გაგანაშვილი,კახეთი
გაგელაშვილი,კახეთი
გაგნაშვილი,კახეთი
გაგნიაშვილი,კახეთი
გაგნიძე,კახეთი
გაგოიძე,კახეთი
გაგუნაშვილი,კახეთი
გავაკეთაშვილი,კახეთი
გავარდაშვილი,კახეთი
გავაშელიძე,კახეთი
გაიმარჯაშვილი,კახეთი
გაიმარჯვაშვილი,კახეთი
გაიპარაშვილი,კახეთი
გალახვარიძე,კახეთი
გამდლიშვილი,კახეთი
გამიაშვილი,კახეთი
გამილაღდიშვილი,კახეთი
გამტკიცულაშვილი,კახეთი
გამხარაშვილი,კახეთი
გამხვეტელაშვილი,კახეთი
განგლიძე,კახეთი
განჯაშვილი,კახეთი
განჯელაშვილი,კახეთი
გარაშვილი,კახეთი
გარიშვილი,კახეთი
გარსევანიშვილი,კახეთი
გარსენიშვილი,კახეთი
გარსევანიძე,კახეთი
გარსიაშვილი,კახეთი
გარშაულაშვილი,კახეთი
გაუარაშვილი,კახეთი
გაურაშვილი,კახეთი
გაურგაშვილი,კახეთი
გაფრინდაული,კახეთი
გაძვერაშვილი,კახეთი
გაწირიძე,კახეთი
გახუაშვილი,კახეთი
გახუტაშვილი,კახეთი
გახუტელაშვილი,კახეთი
გახუტიშვილი,კახეთი
გეგელიძე,კახეთი
გედეშური,კახეთი
გედეხაური,კახეთი
გეზელიშვილი,კახეთი
გეთიაშვილი,კახეთი
გეთაშვილი,კახეთი
გელდიაშვილი,კახეთი
გელიკაშვილი,კახეთი
გელიკოშვილი,კახეთი
გელიტაშვილი,კახეთი
გელუკაშვილი,კახეთი
გემაზაშვილი,კახეთი
გენგაშვილი,კახეთი
გერგაული,კახეთი
გერგეშელიძე,კახეთი
გერგიშვილი,კახეთი
გერმანიშვილი,კახეთი
გესლაიძე,კახეთი
გვარიძიშვილი,კახეთი
გველუკაშვილი,კახეთი
გვიმრაძე,კახეთი
გვრიტიშვილი,კახეთი
გვრიტიძე,კახეთი
გზირიშვილი,კახეთი
გიანაშვილი,კახეთი
გიაშვილი,კახეთი
გიგაური,კახეთი
გიგიაშვილი,კახეთი
გიგილაშვილი,კახეთი
გიგილაშვილი,კახეთი
გიგინაშვილი,კახეთი
გოგებაშვილი,კახეთი
გიგიტაშვილი,კახეთი
გიგიტელაშვილი,კახეთი
გიგიშვილი,კახეთი
გიგნიაშვილი,კახეთი
გიგოიძე,კახეთი
გიგოშვილი,კახეთი
გიებაშვილი,კახეთი
გივიშვილი,კახეთი
გივრაძე,კახეთი
გილაშვილი,კახეთი
გილაძე,კახეთი
გილიგაშვილი,კახეთი
გიორგანაშვილი,კახეთი
გიორგაშვილი,კახეთი
გიორგელაშვილი,კახეთი
გიორგიშვილი,კახეთი
გიოშვილი,კახეთი
გირმისაშვილი,კახეთი
გიუნაიძე,კახეთი
გიქორაშვილი,კახეთი
გიქუაშვილი,კახეთი
გლახაშვილი,კახეთი
გლახაშვილი,კახეთი
გლურჯიძე,კახეთი
გოგაშვილი,კახეთი
გოგბაიძე,კახეთი
გოგილაშვილი,კახეთი
გოგინაშვილი,კახეთი
გოგიტაშვილი,კახეთი
გოგიჩაძე,კახეთი
გოგიჩიძე,კახეთი
გოგლაშვილი,კახეთი
გოგლიაშვილი,კახეთი
გოგნელაშვილი,კახეთი
გოგნიაშვილი,კახეთი
გოგოთიძე,კახეთი
გოგოლაური,კახეთი
გოგოლაშვილი,კახეთი
გოგოლაძე,კახეთი
გოგოსაშვილი,კახეთი
გოგოშვილი,კახეთი
გოგოჩაშვილი,კახეთი
გოგოჭური,კახეთი
გოგროჭიანი,კახეთი
გოდელაშვილი,კახეთი
გოდერძაული,კახეთი
გოდერძიშვილი,კახეთი
გოზალიშვილი,კახეთი
გოთაიძე,კახეთი
გოთაძე,კახეთი
გოისაშვილი,კახეთი
გომელაური,კახეთი
გომიაშვილი,კახეთი
გომურაშვილი,კახეთი
გომშიაშვილი,კახეთი
გონაშვილი,კახეთი
გონიაშვილი,კახეთი
გონიტაშვილი,კახეთი
გონჯილაშვილი,კახეთი
გორაშვილი,კახეთი
გორგიაშვილი,კახეთი
გორგიშვილი,კახეთი
გორელაშვილი,კახეთი
გორელი,კახეთი
გორელიშვილი,კახეთი
გორთამაშვილი,კახეთი
გორნაკაშვილი,კახეთი
გორხელაშვილი,კახეთი
გოჩიაშვილი,კახეთი
გოჩილაიძე,კახეთი
გოჩიტაშვილი,კახეთი
გოჩიშვილი,კახეთი
გოძიაშვილი,კახეთი
გოჯიაშვილი,კახეთი
გრატიაშვილი,კახეთი
გრემელაშვილი,კახეთი
გრიშაშვილი,კახეთი
გრიშიკაშვილი,კახეთი
გრძელაშვილი,კახეთი
გრძელივანიშვილი,კახეთი
გუბეშვილი,კახეთი
გუგელაშვილი,კახეთი
გუგენიშვილი,კახეთი
გუგოშვილი,კახეთი
გუგულაშვილი,კახეთი
გუგუტიშვილი,კახეთი
გუგუჩაშვილი,კახეთი
გუთანაიძე,კახეთი
გუიშვილი,კახეთი
გულაღაშვილი,კახეთი
გულაშვილი,კახეთი
გულისაშვილი,კახეთი
გულმაგარაშვილი,კახეთი
გულოშვილი,კახეთი
