Surname,Region
ბოჯგუა,სამეგრელო
ბჟავა,სამეგრელო
ბჟალავა,სამეგრელო
ბჟანია,სამეგრელო
ბჟინავა,სამეგრელო
ბრეგვაძე,სამეგრელო
ბრელიძე,სამეგრელო
ბუავა,სამეგრელო
ბუაძე,სამეგრელო
ბუბუტეიშვილი,სამეგრელო
ბუთბაია,სამეგრელო
ბუკია,სამეგრელო
ბულეისკირი,სამეგრელო
ბულესკერია,სამეგრელო
ბულესკირია,სამეგრელო
ბულისკერია,სამეგრელო
ბულისკირია,სამეგრელო
ბულია,სამეგრელო
ბულიავა,სამეგრელო
ბულიხია,სამეგრელო
ბულუხია,სამეგრელო
ბურკვაძე,სამეგრელო
ბურსულაია,სამეგრელო
ბურღაშვილი,სამეგრელო
ბურჭულაია,სამეგრელო
ბურჯანაძე,სამეგრელო
ბუსკანძე,სამეგრელო
ბუსკაძე,სამეგრელო
ბუსქანაძე,სამეგრელო
ბუსქანძე,სამეგრელო
ბუღაშვილი,სამეგრელო
ბუცხრიკიძე,სამეგრელო
ბუხრაშვილი,სამეგრელო
ბუხრიშვილი,სამეგრელო
გაბედავა,სამეგრელო
გაბელაია,სამეგრელო
გაბელია,სამეგრელო
გაბესკირია,სამეგრელო
გაბეშია,სამეგრელო
გაბეჩავა,სამეგრელო
გაბეჩია,სამეგრელო
გაბია,სამეგრელო
გაბილაია,სამეგრელო
გაბისკირია,სამეგრელო
გაბისონია,სამეგრელო
გაბისქირია,სამეგრელო
გაბლაია,სამეგრელო
გაბრავა,სამეგრელო
გაბუნია,სამეგრელო
გაბუჩია,სამეგრელო
გაგესკუა,სამეგრელო
გაგნიძე,სამეგრელო
გაგუა,სამეგრელო
გაგულია,სამეგრელო
გადელია,სამეგრელო
გადილია,სამეგრელო
გადრანი,სამეგრელო
გალდავა,სამეგრელო
გამახარია,სამეგრელო
გამზარდია,სამეგრელო
გამისონია,სამეგრელო
გამსახურდია,სამეგრელო
განაია,სამეგრელო
განარჯია,სამეგრელო
განგავა,სამეგრელო
განგია,სამეგრელო
გარგანჯია,სამეგრელო
გარდავა,სამეგრელო
გარუჩავა,სამეგრელო
გასვიანი,სამეგრელო
გაწერელია,სამეგრელო
გახარია,სამეგრელო
გახოკია,სამეგრელო
გახოკიძე,სამეგრელო
გაჯორაია,სამეგრელო
გაჰავა,სამეგრელო
გებერავა,სამეგრელო
გეგელია,სამეგრელო
გეგენავა,სამეგრელო
გეგეშიძე,სამეგრელო
გეგეჭკორი,სამეგრელო
გეგია,სამეგრელო
გედენიძე,სამეგრელო
გედენავა,სამეგრელო
გედია,სამეგრელო
გეთია,სამეგრელო
გელავა,სამეგრელო
გელაზონია,სამეგრელო
გელანტია,სამეგრელო
გელაშვილი,სამეგრელო
გელენავა,სამეგრელო
გელენიძე,სამეგრელო
გელოვანი,სამეგრელო
გელოზია,სამეგრელო
გელხვეიძე,სამეგრელო
გერანტია,სამეგრელო
გერანტია,სამეგრელო
გერგაია,სამეგრელო
გერგედავა,სამეგრელო
გერგვანია,სამეგრელო
გერგია,სამეგრელო
გერენავა,სამეგრელო
გერეხელია,სამეგრელო
გერეხელიძე,სამეგრელო
გერზმავა,სამეგრელო
გერლიანი,სამეგრელო
გერსამია,სამეგრელო
გეჯერია,სამეგრელო
გვაგვალია,სამეგრელო
გვაზავა,სამეგრელო
გვაზბაია,სამეგრელო
გვათუა,სამეგრელო
გვალია,სამეგრელო
გვარალია,სამეგრელო
გვარამია,სამეგრელო
