Surname,Region
ერაძე,რაჭა-ლეჩხუმი
ერისთავი,რაჭა-ლეჩხუმი
ეძგვერაძე,რაჭა-ლეჩხუმი
ვარაზაშვილი,რაჭა-ლეჩხუმი
ვარდინიძე,რაჭა-ლეჩხუმი
ვაჩაძე,რაჭა-ლეჩხუმი
ვაჩიბერიძე,რაჭა-ლეჩხუმი
ვაწაძე,რაჭა-ლეჩხუმი
ვახტანგაძე,რაჭა-ლეჩხუმი
ველიაშვილი,რაჭა-ლეჩხუმი
ზარნაძე,რაჭა-ლეჩხუმი
ზაუტაშვილი,რაჭა-ლეჩხუმი
ზაქარიაძე,რაჭა-ლეჩხუმი
თაგვაძე,რაჭა-ლეჩხუმი
თავიდაშვილი,რაჭა-ლეჩხუმი
თავშავაძე,რაჭა-ლეჩხუმი
თათარაძე,რაჭა-ლეჩხუმი
თედორაშვილი,რაჭა-ლეჩხუმი
თევზაძე,რაჭა-ლეჩხუმი
თვალჭრელიძე,რაჭა-ლეჩხუმი
თოდაძე,რაჭა-ლეჩხუმი
თოთლაძე,რაჭა-ლეჩხუმი
თომაძე,რაჭა-ლეჩხუმი
თორაძე,რაჭა-ლეჩხუმი
იაშვილი,რაჭა-ლეჩხუმი
იმედაძე,რაჭა-ლეჩხუმი
ინასარიძე,რაჭა-ლეჩხუმი
ინატაშვილი,რაჭა-ლეჩხუმი
იობაშვილი,რაჭა-ლეჩხუმი
ისაკაძე,რაჭა-ლეჩხუმი
ისელიძე,რაჭა-ლეჩხუმი
კაკალძე,რაჭა-ლეჩხუმი
კაკრიაშვილი,რაჭა-ლეჩხუმი
კალმახელიძე,რაჭა-ლეჩხუმი
კანდელაკი,რაჭა-ლეჩხუმი
კანთელაძე,რაჭა-ლეჩხუმი
კატატაძე,რაჭა-ლეჩხუმი
კაფერიძე,რაჭა-ლეჩხუმი
კაციტაძე,რაჭა-ლეჩხუმი
კახეთელიძე,რაჭა-ლეჩხუმი
კახიძე,რაჭა-ლეჩხუმი
კბილაძე,რაჭა-ლეჩხუმი
კევლიშვილი,რაჭა-ლეჩხუმი
კეკენაძე,რაჭა-ლეჩხუმი
კენჭაძე,რაჭა-ლეჩხუმი
კერესელიძე,რაჭა-ლეჩხუმი
კერვალიშვილი,რაჭა-ლეჩხუმი
კვატაშიძე,რაჭა-ლეჩხუმი
კვაჭატაძე,რაჭა-ლეჩხუმი
კვახაძე,რაჭა-ლეჩხუმი
კვერეხაძე,რაჭა-ლეჩხუმი
კვირიკაშვილი,რაჭა-ლეჩხუმი
კვირიკეიშვილი,რაჭა-ლეჩხუმი
კვიტაშვილი,რაჭა-ლეჩხუმი
კიკვაძე,რაჭა-ლეჩხუმი
კიკვიძე,რაჭა-ლეჩხუმი
კიკნაძე,რაჭა-ლეჩხუმი
კიკოშვილი,რაჭა-ლეჩხუმი
კილასონია,რაჭა-ლეჩხუმი
კირვალიძე,რაჭა-ლეჩხუმი
კობახიძე,რაჭა-ლეჩხუმი
კობერიძე,რაჭა-ლეჩხუმი
კობზონაძე,რაჭა-ლეჩხუმი
კუბლაშვილი,რაჭა-ლეჩხუმი
ლანდია,რაჭა-ლეჩხუმი
ლანდიაშვილი,რაჭა-ლეჩხუმი
ლაშაბერიძე,რაჭა-ლეჩხუმი
ლაშხი,რაჭა-ლეჩხუმი
ლებანიძე,რაჭა-ლეჩხუმი
ლეჟავა,რაჭა-ლეჩხუმი
ლეფწვერიძე,რაჭა-ლეჩხუმი
ლიპარიშვილი,რაჭა-ლეჩხუმი
ლომაძე,რაჭა-ლეჩხუმი
ლობილაძე,რაჭა-ლეჩხუმი
ლობჯანიძე,რაჭა-ლეჩხუმი
ლომთაძე,რაჭა-ლეჩხუმი
ლორთქიფანიძე,რაჭა-ლეჩხუმი
